campaign_name,spend_date,impressions,reach,link_clicks,spend
UrsFischer_LE_26 · Enter draw,2026-07-22,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-07-22,106387,91251,949,1353.15
ZengFanzhi_TL_26 · Enter draw,2026-07-22,59619,56080,602,702.04
HankWillisT_LE_26 · Enter draw,2026-07-21,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-21,0,0,0,0
FelipePantone_LE_26 · Enter draw,2026-07-21,0,0,0,0
GiuseppePen_LE_26 · Enter draw,2026-07-21,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-21,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-21,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-21,7535,6757,107,95.63
JaumePlen_LE_26 · Enter draw,2026-07-21,0,0,0,0
LY_LE_26 · Enter draw,2026-07-21,0,0,0,0
UrsFischer_LE_26 · Enter draw,2026-07-21,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-07-21,88762,77072,920,991.77
ZengFanzhi_TL_26 · Enter draw,2026-07-21,159983,144029,1518,1571.34
JaumePlen_LE_26 · Enter draw,2026-07-20,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-20,0,0,0,0
FelipePantone_LE_26 · Enter draw,2026-07-20,0,0,0,0
GregoryCrewd_TL_26 · Purchases,2026-07-20,0,0,0,0
GregoryCrewd_TL_26 · Sign-ups,2026-07-20,0,0,0,0
HankWillisT_LE_26 · Enter draw,2026-07-20,0,0,0,0
AhmedM_Salam_26 · Enter draw,2026-07-20,10327,9067,114,94.57
LY_LE_26 · Enter draw,2026-07-20,0,0,0,0
UrsFischer_LE_26 · Enter draw,2026-07-20,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-07-20,90016,79439,993,1005.5
ZengFanzhi_TL_26 · Enter draw,2026-07-20,60775,50263,817,769.71
AhmedM_Salam_26 · Enter draw,2026-07-19,0,0,0,0
Backside_LE_26 · Enter draw,2026-07-19,0,0,0,0
